date,open,high,low,close,volume
2024-01-02 09:30:00,373.86,375.525,373.67,375.49,551897
2024-01-02 09:31:00,375.4402,375.9,374.59,374.59,102364
2024-01-02 09:32:00,374.59,374.72,373.59,373.66,78313
2024-01-02 09:33:00,373.69,373.69,372.42,372.52,104862
2024-01-02 09:34:00,372.466,372.56,371.4,371.4,111353
2024-01-02 09:35:00,371.42,372.01,371.22,371.9641,103658
2024-01-02 09:36:00,371.95,372.03,371.42,371.45,65380
2024-01-02 09:37:00,371.485,371.75,371.3501,371.61,55581
2024-01-02 09:38:00,371.63,371.7,371.31,371.65,67594
2024-01-02 09:39:00,371.67,372.0,371.46,371.925,56777
2024-01-02 09:40:00,371.926,371.94,371.1,371.2,67915
2024-01-02 09:41:00,371.2314,371.25,370.22,370.31,83795
2024-01-02 09:42:00,370.3159,370.38,369.22,369.24,135270
2024-01-02 09:43:00,369.28,369.64,369.17,369.41,78940
2024-01-02 09:44:00,369.42,370.06,369.42,370.04,49391
2024-01-02 09:45:00,370.03,370.35,369.53,369.605,100779
2024-01-02 09:46:00,369.64,369.79,369.2525,369.44,82273
2024-01-02 09:47:00,369.4424,369.56,368.71,368.79,138585
2024-01-02 09:48:00,368.775,368.93,368.22,368.2201,137348
2024-01-02 09:49:00,368.23,368.47,368.0001,368.32,96534
2024-01-02 09:50:00,368.32,368.52,368.17,368.19,45748
2024-01-02 09:51:00,368.26,368.435,368.18,368.3,62354
2024-01-02 09:52:00,368.305,368.305,367.2691,367.495,100176
2024-01-02 09:53:00,367.5319,367.7,367.17,367.225,88236
2024-01-02 09:54:00,367.23,367.562,367.13,367.44,63571
2024-01-02 09:55:00,367.405,367.62,367.03,367.23,60764
2024-01-02 09:56:00,367.2731,367.28,366.95,367.215,56149
2024-01-02 09:57:00,367.215,367.435,366.95,367.04,80402
2024-01-02 09:58:00,367.07,367.18,366.771,367.0705,90964
2024-01-02 09:59:00,367.085,367.72,366.96,367.6927,72422
2024-01-02 10:00:00,367.695,368.45,367.57,368.405,96877
2024-01-02 10:01:00,368.405,368.46,368.06,368.19,52455
2024-01-02 10:02:00,368.22,368.37,367.9597,368.22,57664
2024-01-02 10:03:00,368.23,368.72,368.04,368.56,50985
2024-01-02 10:04:00,368.57,368.72,368.48,368.61,63738
2024-01-02 10:05:00,368.6,368.67,368.11,368.13,50568
2024-01-02 10:06:00,368.15,368.3,368.02,368.135,35193
2024-01-02 10:07:00,368.14,368.3,367.96,368.3,39680
2024-01-02 10:08:00,368.302,368.35,368.07,368.22,37982
2024-01-02 10:09:00,368.2,368.42,368.07,368.1,34300
2024-01-02 10:10:00,368.07,368.4,367.93,368.18,22135
2024-01-02 10:11:00,368.215,368.615,368.15,368.51,36310
2024-01-02 10:12:00,368.51,368.6199,368.38,368.5599,26905
2024-01-02 10:13:00,368.52,368.65,368.5,368.52,30270
2024-01-02 10:14:00,368.5393,368.54,368.1,368.17,26861
2024-01-02 10:15:00,368.17,368.605,367.96,368.35,122301
2024-01-02 10:16:00,368.325,368.6428,368.29,368.56,36190
2024-01-02 10:17:00,368.58,368.72,368.47,368.64,31888
2024-01-02 10:18:00,368.6508,368.6888,368.41,368.43,34822
2024-01-02 10:19:00,368.45,368.56,368.05,368.06,28694
2024-01-02 10:20:00,368.065,368.08,367.89,367.89,31775
2024-01-02 10:21:00,367.88,368.18,367.87,368.05,24869
2024-01-02 10:22:00,368.035,368.7999,368.0,368.71,115930
2024-01-02 10:23:00,368.71,368.8399,368.37,368.7989,21252
2024-01-02 10:24:00,368.8,368.89,368.61,368.8478,25854
2024-01-02 10:25:00,368.87,369.05,368.7651,368.8,46253
2024-01-02 10:26:00,368.78,368.81,368.31,368.335,26485
2024-01-02 10:27:00,368.31,368.88,368.31,368.81,22095
2024-01-02 10:28:00,368.79,368.82,368.31,368.34,27068
2024-01-02 10:29:00,368.39,368.58,368.29,368.3,19512
2024-01-02 10:30:00,368.25,368.27,368.055,368.14,20173
2024-01-02 10:31:00,368.15,368.4993,368.11,368.25,25518
2024-01-02 10:32:00,368.255,368.49,368.21,368.35,25862
2024-01-02 10:33:00,368.34,368.56,368.1086,368.19,27670
2024-01-02 10:34:00,368.16,368.57,368.16,368.51,27600
2024-01-02 10:35:00,368.56,368.56,368.2627,368.44,27268
2024-01-02 10:36:00,368.41,368.75,368.36,368.44,36725
2024-01-02 10:37:00,368.45,368.7415,368.21,368.2302,33827
2024-01-02 10:38:00,368.25,368.651,368.19,368.6,40570
2024-01-02 10:39:00,368.57,368.79,368.3501,368.37,30167
2024-01-02 10:40:00,368.34,368.36,367.91,367.93,51171
2024-01-02 10:41:00,367.95,367.98,367.42,367.675,85617
2024-01-02 10:42:00,367.68,367.79,367.34,367.39,38743
2024-01-02 10:43:00,367.37,367.57,367.3,367.54,30706
2024-01-02 10:44:00,367.543,367.85,367.54,367.83,26580
2024-01-02 10:45:00,367.79,367.98,367.6659,367.86,27309
2024-01-02 10:46:00,367.9,368.04,367.84,367.915,22564
2024-01-02 10:47:00,367.94,367.98,367.8393,367.9301,18432
2024-01-02 10:48:00,367.93,367.95,367.69,367.7,19572
2024-01-02 10:49:00,367.6971,367.77,367.14,367.15,39740
2024-01-02 10:50:00,367.16,367.29,367.0,367.11,36784
2024-01-02 10:51:00,367.11,367.29,367.0,367.23,51083
2024-01-02 10:52:00,367.26,367.38,367.07,367.3536,17433
2024-01-02 10:53:00,367.385,367.48,367.32,367.35,16515
2024-01-02 10:54:00,367.365,367.47,367.35,367.44,18972
2024-01-02 10:55:00,367.44,367.64,367.44,367.6,16923
2024-01-02 10:56:00,367.64,367.975,367.6201,367.975,38342
2024-01-02 10:57:00,367.99,367.996,367.85,367.9197,21028
2024-01-02 10:58:00,367.92,368.08,367.92,368.02,23050
2024-01-02 10:59:00,368.02,368.31,368.0,368.3,18131
2024-01-02 11:00:00,368.27,368.5573,368.2449,368.425,23436
2024-01-02 11:01:00,368.4399,368.6219,368.38,368.44,19673
2024-01-02 11:02:00,368.4572,368.57,368.415,368.4932,20633
2024-01-02 11:03:00,368.525,368.56,368.43,368.46,25172
2024-01-02 11:04:00,368.48,368.78,368.48,368.7782,42398
2024-01-02 11:05:00,368.78,368.8904,368.66,368.84,28789
2024-01-02 11:06:00,368.83,368.91,368.61,368.91,19186
2024-01-02 11:07:00,368.89,368.95,368.83,368.84,15400
2024-01-02 11:08:00,368.8418,368.8899,368.6904,368.8436,18009
2024-01-02 11:09:00,368.84,368.94,368.8,368.88,19379
2024-01-02 11:10:00,368.86,369.12,368.82,369.12,25281
2024-01-02 11:11:00,369.125,369.38,369.125,369.29,34837
2024-01-02 11:12:00,369.295,369.5,369.26,369.45,32499
2024-01-02 11:13:00,369.44,369.45,369.15,369.26,28556
2024-01-02 11:14:00,369.3,369.41,369.26,369.39,20483
2024-01-02 11:15:00,369.39,369.465,369.225,369.3099,19396
2024-01-02 11:16:00,369.2756,369.44,369.21,369.3,19220
2024-01-02 11:17:00,369.3,369.445,369.22,369.4366,23210
2024-01-02 11:18:00,369.405,369.68,369.405,369.48,31618
2024-01-02 11:19:00,369.55,369.75,369.49,369.7208,26576
2024-01-02 11:20:00,369.75,369.87,369.63,369.63,34291
2024-01-02 11:21:00,369.6494,369.87,369.63,369.735,19643
2024-01-02 11:22:00,369.7,369.88,369.63,369.8,22588
2024-01-02 11:23:00,369.765,369.81,369.65,369.655,23537
2024-01-02 11:24:00,369.6468,369.67,369.35,369.48,25471
2024-01-02 11:25:00,369.49,369.5,369.37,369.48,27136
2024-01-02 11:26:00,369.48,369.8,369.43,369.73,18736
2024-01-02 11:27:00,369.73,369.83,369.715,369.77,21565
2024-01-02 11:28:00,369.74,369.95,369.74,369.91,15672
2024-01-02 11:29:00,369.9,369.98,369.845,369.97,13392
2024-01-02 11:30:00,369.96,370.4,369.94,370.36,33666
2024-01-02 11:31:00,370.36,370.45,370.29,370.3924,30004
2024-01-02 11:32:00,370.4,370.4799,370.32,370.43,23519
2024-01-02 11:33:00,370.42,370.54,370.38,370.395,18220
2024-01-02 11:34:00,370.38,370.52,370.38,370.5,16521
2024-01-02 11:35:00,370.52,370.55,370.13,370.275,18931
2024-01-02 11:36:00,370.31,370.31,370.11,370.235,26239
2024-01-02 11:37:00,370.23,370.33,370.15,370.32,18059
2024-01-02 11:38:00,370.305,370.33,370.24,370.3213,20964
2024-01-02 11:39:00,370.32,370.33,370.046,370.085,20533
2024-01-02 11:40:00,370.07,370.21,369.98,370.08,22285
2024-01-02 11:41:00,370.06,370.1,369.9,370.04,28475
2024-01-02 11:42:00,370.04,370.5,370.04,370.495,25800
2024-01-02 11:43:00,370.495,370.5,370.2198,370.25,26347
2024-01-02 11:44:00,370.24,370.5,370.18,370.49,16587
2024-01-02 11:45:00,370.48,370.57,370.27,370.55,19276
2024-01-02 11:46:00,370.58,370.86,370.519,370.665,28295
2024-01-02 11:47:00,370.64,370.68,370.49,370.6297,21008
2024-01-02 11:48:00,370.65,370.69,370.51,370.57,28736
2024-01-02 11:49:00,370.59,370.8,370.59,370.7927,15910
2024-01-02 11:50:00,370.785,370.85,370.55,370.58,19960
2024-01-02 11:51:00,370.62,370.74,370.61,370.655,18994
2024-01-02 11:52:00,370.68,370.79,370.61,370.61,16378
2024-01-02 11:53:00,370.6,371.0,370.5,370.96,37493
2024-01-02 11:54:00,370.96,370.99,370.77,370.87,27312
2024-01-02 11:55:00,370.865,370.94,370.74,370.74,12000
2024-01-02 11:56:00,370.745,371.0,370.745,370.87,18344
2024-01-02 11:57:00,370.88,371.005,370.81,370.9805,25084
2024-01-02 11:58:00,371.0,371.12,370.846,370.846,20153
2024-01-02 11:59:00,370.8799,370.8826,370.64,370.8826,19309
2024-01-02 12:00:00,370.92,371.03,370.81,370.95,17362
2024-01-02 12:01:00,370.95,371.06,370.88,370.92,21468
2024-01-02 12:02:00,370.89,370.89,370.6601,370.8198,25506
2024-01-02 12:03:00,370.81,371.165,370.8014,371.12,82916
2024-01-02 12:04:00,371.14,371.28,371.08,371.15,17031
2024-01-02 12:05:00,371.14,371.19,371.085,371.12,18576
2024-01-02 12:06:00,371.13,371.1399,370.97,370.9943,13210
2024-01-02 12:07:00,371.035,371.1515,371.02,371.1515,15052
2024-01-02 12:08:00,371.15,371.36,371.15,371.32,22897
2024-01-02 12:09:00,371.3179,371.36,371.17,371.23,18556
2024-01-02 12:10:00,371.22,371.22,371.05,371.05,13636
2024-01-02 12:11:00,371.04,371.07,370.98,371.035,11636
2024-01-02 12:12:00,371.05,371.06,370.87,370.915,15299
2024-01-02 12:13:00,370.91,370.94,370.715,370.8,15405
2024-01-02 12:14:00,370.8401,370.9061,370.815,370.8817,15324
2024-01-02 12:15:00,370.86,370.9,370.77,370.895,16497
2024-01-02 12:16:00,370.9001,370.95,370.73,370.8,32042
2024-01-02 12:17:00,370.78,370.78,370.2945,370.42,32466
2024-01-02 12:18:00,370.4352,370.57,370.4,370.56,17489
2024-01-02 12:19:00,370.565,370.68,370.48,370.68,20758
2024-01-02 12:20:00,370.6297,370.85,370.62,370.7635,20176
2024-01-02 12:21:00,370.76,370.84,370.76,370.83,15565
2024-01-02 12:22:00,370.84,370.86,370.61,370.69,11708
2024-01-02 12:23:00,370.68,370.74,370.62,370.69,22559
2024-01-02 12:24:00,370.71,370.72,370.51,370.55,15044
2024-01-02 12:25:00,370.545,370.58,370.4301,370.58,16156
2024-01-02 12:26:00,370.599,370.76,370.5301,370.605,10949
2024-01-02 12:27:00,370.58,370.76,370.51,370.73,13920
2024-01-02 12:28:00,370.725,370.79,370.61,370.665,19080
2024-01-02 12:29:00,370.665,370.7,370.477,370.477,15409
2024-01-02 12:30:00,370.4746,370.5,370.31,370.32,17661
2024-01-02 12:31:00,370.33,370.47,370.27,370.41,16051
2024-01-02 12:32:00,370.41,370.49,370.385,370.47,12426
2024-01-02 12:33:00,370.47,370.65,370.46,370.65,22864
2024-01-02 12:34:00,370.66,370.72,370.6345,370.655,16575
2024-01-02 12:35:00,370.69,370.77,370.6015,370.65,17200
2024-01-02 12:36:00,370.65,370.81,370.6,370.76,19416
2024-01-02 12:37:00,370.78,370.8,370.68,370.74,11375
2024-01-02 12:38:00,370.7696,370.81,370.6983,370.6983,23175
2024-01-02 12:39:00,370.7,370.73,370.585,370.71,10895
2024-01-02 12:40:00,370.72,371.01,370.72,370.9,36227
2024-01-02 12:41:00,370.9,371.02,370.82,370.91,10727
2024-01-02 12:42:00,370.95,370.95,370.77,370.78,12444
2024-01-02 12:43:00,370.78,370.78,370.5632,370.58,11850
2024-01-02 12:44:00,370.58,370.695,370.58,370.6695,6559
2024-01-02 12:45:00,370.67,370.69,370.48,370.5,13328
2024-01-02 12:46:00,370.48,370.59,370.36,370.42,8202
2024-01-02 12:47:00,370.41,370.41,370.22,370.24,10612
2024-01-02 12:48:00,370.25,370.25,369.99,370.0999,17920
2024-01-02 12:49:00,370.1,370.17,370.0256,370.1201,10931
2024-01-02 12:50:00,370.12,370.14,369.85,369.9,15436
2024-01-02 12:51:00,369.9087,369.97,369.66,369.74,16683
2024-01-02 12:52:00,369.74,369.76,369.6436,369.65,12104
2024-01-02 12:53:00,369.68,369.7,369.63,369.6499,9383
2024-01-02 12:54:00,369.62,369.67,369.5601,369.5601,16846
2024-01-02 12:55:00,369.58,369.67,369.47,369.4999,26520
2024-01-02 12:56:00,369.47,369.55,369.3874,369.5,17342
2024-01-02 12:57:00,369.51,369.55,369.4368,369.46,8763
2024-01-02 12:58:00,369.45,369.5,369.26,369.29,16351
2024-01-02 12:59:00,369.2823,369.41,369.27,369.3528,13602
2024-01-02 13:00:00,369.37,369.4121,369.3025,369.4001,6835
2024-01-02 13:01:00,369.4114,369.42,369.33,369.355,12444
2024-01-02 13:02:00,369.37,369.37,369.175,369.21,13773
2024-01-02 13:03:00,369.23,369.26,369.19,369.22,10703
2024-01-02 13:04:00,369.24,369.2491,369.14,369.2491,11884
2024-01-02 13:05:00,369.25,369.36,369.25,369.3,7511
2024-01-02 13:06:00,369.31,369.42,369.275,369.28,9877
2024-01-02 13:07:00,369.31,369.34,369.23,369.29,6414
2024-01-02 13:08:00,369.29,369.3,369.22,369.27,11307
2024-01-02 13:09:00,369.27,369.27,369.16,369.17,8512
2024-01-02 13:10:00,369.16,369.31,369.15,369.31,17817
2024-01-02 13:11:00,369.3099,369.3395,369.25,369.33,15513
2024-01-02 13:12:00,369.32,369.39,369.25,369.27,12533
2024-01-02 13:13:00,369.28,369.34,369.2,369.31,14650
2024-01-02 13:14:00,369.33,369.47,369.2536,369.36,13197
2024-01-02 13:15:00,369.3318,369.3494,369.23,369.3034,16325
2024-01-02 13:16:00,369.3,369.38,369.3,369.34,6613
2024-01-02 13:17:00,369.35,369.4,369.3496,369.37,22395
2024-01-02 13:18:00,369.3609,369.4297,369.36,369.38,15646
2024-01-02 13:19:00,369.4,369.44,369.38,369.44,10541
2024-01-02 13:20:00,369.45,369.5098,369.44,369.495,22632
2024-01-02 13:21:00,369.4995,369.5862,369.48,369.5862,10010
2024-01-02 13:22:00,369.58,369.63,369.53,369.63,11521
2024-01-02 13:23:00,369.65,369.73,369.61,369.61,15274
2024-01-02 13:24:00,369.63,369.8498,369.63,369.7979,12577
2024-01-02 13:25:00,369.78,369.81,369.72,369.74,13982
2024-01-02 13:26:00,369.75,369.99,369.75,369.93,21301
2024-01-02 13:27:00,369.91,370.0,369.75,369.76,28158
2024-01-02 13:28:00,369.78,369.84,369.71,369.76,8327
2024-01-02 13:29:00,369.75,369.76,369.615,369.63,15158
2024-01-02 13:30:00,369.635,369.98,369.6172,369.94,21524
2024-01-02 13:31:00,369.934,369.99,369.75,369.7652,25852
2024-01-02 13:32:00,369.77,369.81,369.605,369.64,8037
2024-01-02 13:33:00,369.66,369.7,369.609,369.695,6839
2024-01-02 13:34:00,369.7,369.95,369.68,369.91,15392
2024-01-02 13:35:00,369.9,369.98,369.8,369.965,13621
2024-01-02 13:36:00,369.96,369.96,369.8644,369.87,13336
2024-01-02 13:37:00,369.89,369.9,369.75,369.86,6257
2024-01-02 13:38:00,369.87,370.08,369.87,369.98,15988
2024-01-02 13:39:00,369.9797,370.0,369.88,369.98,10930
2024-01-02 13:40:00,369.95,370.04,369.89,370.01,7410
2024-01-02 13:41:00,370.0,370.0,369.86,369.95,8556
2024-01-02 13:42:00,369.96,370.08,369.89,369.9164,16002
2024-01-02 13:43:00,369.93,370.18,369.88,370.12,14072
2024-01-02 13:44:00,370.14,370.14,369.8745,370.02,11208
2024-01-02 13:45:00,370.025,370.04,369.87,369.99,7795
2024-01-02 13:46:00,369.97,370.1227,369.92,370.095,16832
2024-01-02 13:47:00,370.09,370.2,370.05,370.07,7516
2024-01-02 13:48:00,370.023,370.04,369.95,369.96,9665
2024-01-02 13:49:00,369.97,369.97,369.81,369.9,10837
2024-01-02 13:50:00,369.92,369.92,369.68,369.69,7978
2024-01-02 13:51:00,369.68,369.79,369.63,369.67,11038
2024-01-02 13:52:00,369.64,369.69,369.57,369.6,12644
2024-01-02 13:53:00,369.6,369.6699,369.57,369.62,6774
2024-01-02 13:54:00,369.67,369.68,369.6,369.61,4841
2024-01-02 13:55:00,369.63,369.67,369.5115,369.54,9363
2024-01-02 13:56:00,369.53,369.58,369.35,369.41,22966
2024-01-02 13:57:00,369.4105,369.45,369.31,369.3901,11920
2024-01-02 13:58:00,369.405,369.405,369.24,369.31,10885
2024-01-02 13:59:00,369.31,369.51,369.27,369.51,8009
2024-01-02 14:00:00,369.53,369.62,369.4308,369.5,13529
2024-01-02 14:01:00,369.45,369.45,369.3203,369.36,11390
2024-01-02 14:02:00,369.352,369.39,369.22,369.25,14026
2024-01-02 14:03:00,369.2667,369.43,369.23,369.295,18089
2024-01-02 14:04:00,369.3,369.3,369.11,369.12,16993
2024-01-02 14:05:00,369.13,369.23,369.11,369.11,28185
2024-01-02 14:06:00,369.1,369.13,368.93,369.01,29505
2024-01-02 14:07:00,368.98,369.01,368.89,368.911,11169
2024-01-02 14:08:00,368.96,369.03,368.9175,368.98,4709
2024-01-02 14:09:00,369.0,369.13,368.978,369.1,10407
2024-01-02 14:10:00,369.07,369.1778,369.04,369.15,9550
2024-01-02 14:11:00,369.11,369.46,369.11,369.335,33370
2024-01-02 14:12:00,369.335,369.5,369.3153,369.5,5493
2024-01-02 14:13:00,369.52,369.635,369.47,369.57,10571
2024-01-02 14:14:00,369.62,369.65,369.48,369.51,16526
2024-01-02 14:15:00,369.5,369.5191,369.42,369.4301,11242
2024-01-02 14:16:00,369.46,369.5,369.43,369.47,10187
2024-01-02 14:17:00,369.43,369.5,369.41,369.45,12435
2024-01-02 14:18:00,369.46,369.51,369.44,369.51,5067
2024-01-02 14:19:00,369.51,369.62,369.4869,369.4869,11320
2024-01-02 14:20:00,369.47,369.52,369.455,369.48,20938
2024-01-02 14:21:00,369.5,369.51,369.42,369.48,11151
2024-01-02 14:22:00,369.48,369.49,369.42,369.43,15083
2024-01-02 14:23:00,369.44,369.48,369.42,369.48,16446
2024-01-02 14:24:00,369.47,369.6,369.47,369.6,26195
2024-01-02 14:25:00,369.61,369.71,369.5201,369.635,15077
2024-01-02 14:26:00,369.66,369.69,369.522,369.55,22109
2024-01-02 14:27:00,369.5289,369.6,369.455,369.455,12592
2024-01-02 14:28:00,369.48,369.56,369.44,369.46,12716
2024-01-02 14:29:00,369.48,369.58,369.47,369.55,9467
2024-01-02 14:30:00,369.54,369.68,369.5285,369.64,7544
2024-01-02 14:31:00,369.62,369.76,369.55,369.55,22204
2024-01-02 14:32:00,369.52,369.5894,369.36,369.39,16896
2024-01-02 14:33:00,369.37,369.48,369.35,369.48,23940
2024-01-02 14:34:00,369.475,369.6,369.475,369.56,16235
2024-01-02 14:35:00,369.58,369.6,369.42,369.54,8754
2024-01-02 14:36:00,369.54,369.56,369.47,369.495,7804
2024-01-02 14:37:00,369.495,369.57,369.46,369.57,13268
2024-01-02 14:38:00,369.57,369.59,369.415,369.42,17695
2024-01-02 14:39:00,369.42,369.46,369.26,369.26,15181
2024-01-02 14:40:00,369.26,369.36,369.2,369.35,15773
2024-01-02 14:41:00,369.31,369.36,369.0,369.02,69251
2024-01-02 14:42:00,369.04,369.15,369.02,369.11,16488
