date,open,high,low,close,volume
2024-01-02 09:30:00,492.44,492.95,491.1878,491.71,429122
2024-01-02 09:31:00,491.6623,492.665,490.85,491.4534,127132
2024-01-02 09:32:00,491.25,491.36,488.5,488.75,202515
2024-01-02 09:33:00,488.68,488.7999,485.5901,486.135,336611
2024-01-02 09:34:00,486.135,486.135,482.7291,483.345,405468
2024-01-02 09:35:00,483.3,485.28,483.19,484.84,293300
2024-01-02 09:36:00,484.91,484.91,482.42,482.59,311484
2024-01-02 09:37:00,482.67,483.2,481.89,483.17,302273
2024-01-02 09:38:00,483.16,483.27,482.0,482.865,201063
2024-01-02 09:39:00,482.865,483.33,481.62,481.69,248277
2024-01-02 09:40:00,481.84,481.88,480.65,481.59,303919
2024-01-02 09:41:00,481.54,481.557,479.43,479.67,348592
2024-01-02 09:42:00,479.7595,480.03,478.65,479.0,263539
2024-01-02 09:43:00,479.03,479.14,478.0,478.735,213705
2024-01-02 09:44:00,478.75,479.24,478.31,479.06,175290
2024-01-02 09:45:00,479.14,479.27,477.67,478.88,303941
2024-01-02 09:46:00,478.94,480.2,478.8364,479.8077,253814
2024-01-02 09:47:00,479.84,480.0,478.74,479.25,163777
2024-01-02 09:48:00,479.225,479.6055,478.27,478.78,160752
2024-01-02 09:49:00,478.818,478.818,477.1701,477.47,259455
2024-01-02 09:50:00,477.55,478.7999,477.3,478.5,166476
2024-01-02 09:51:00,478.5,478.58,477.7,478.08,158909
2024-01-02 09:52:00,478.0875,478.1699,476.2466,477.36,291869
2024-01-02 09:53:00,477.3375,478.47,477.1125,478.08,203577
2024-01-02 09:54:00,478.12,478.42,477.61,477.7,140678
2024-01-02 09:55:00,477.65,478.65,477.13,478.54,173267
2024-01-02 09:56:00,478.5,478.5799,476.7,476.77,157931
2024-01-02 09:57:00,476.7,477.15,475.95,476.87,231540
2024-01-02 09:58:00,476.98,477.3,476.5,477.1935,151250
2024-01-02 09:59:00,477.16,478.99,477.0001,478.97,182904
2024-01-02 10:00:00,478.88,479.41,478.411,479.095,194896
2024-01-02 10:01:00,479.12,479.58,478.44,479.18,169239
2024-01-02 10:02:00,479.1944,479.55,478.69,478.91,144612
2024-01-02 10:03:00,478.86,479.4999,478.2501,478.62,117406
2024-01-02 10:04:00,478.61,479.39,478.31,479.13,108340
2024-01-02 10:05:00,479.12,479.39,478.0,478.08,125872
2024-01-02 10:06:00,478.13,479.0,477.89,478.5,111376
2024-01-02 10:07:00,478.54,478.7154,478.0,478.2399,76314
2024-01-02 10:08:00,478.0649,478.45,477.4508,477.745,132564
2024-01-02 10:09:00,477.79,478.53,477.71,478.22,105304
2024-01-02 10:10:00,478.16,478.57,477.57,477.61,117123
2024-01-02 10:11:00,477.82,478.34,477.52,477.65,117857
2024-01-02 10:12:00,477.64,479.1899,477.53,478.9931,131200
2024-01-02 10:13:00,479.02,479.4137,478.7356,479.03,97432
2024-01-02 10:14:00,478.975,479.08,477.6602,477.915,103297
2024-01-02 10:15:00,477.8285,478.4,477.62,478.34,100191
2024-01-02 10:16:00,478.253,478.87,478.138,478.42,93456
2024-01-02 10:17:00,478.4059,479.0,478.2773,478.89,66434
2024-01-02 10:18:00,478.89,479.0,478.0,478.31,87189
2024-01-02 10:19:00,478.32,478.43,477.7601,477.9199,57871
2024-01-02 10:20:00,477.85,478.65,477.56,478.595,117089
2024-01-02 10:21:00,478.59,478.99,478.4201,478.5482,77693
2024-01-02 10:22:00,478.64,478.89,478.25,478.5001,62869
2024-01-02 10:23:00,478.5,479.27,478.34,479.14,106716
2024-01-02 10:24:00,479.165,479.75,479.08,479.33,137965
2024-01-02 10:25:00,479.325,479.4,478.71,478.78,96788
2024-01-02 10:26:00,478.72,478.83,477.8701,477.935,92413
2024-01-02 10:27:00,477.935,478.55,477.86,478.095,79279
2024-01-02 10:28:00,478.0018,478.1999,476.5501,476.66,176984
2024-01-02 10:29:00,476.66,477.17,476.39,476.67,155342
2024-01-02 10:30:00,476.7099,477.1,476.12,476.4,138614
2024-01-02 10:31:00,476.46,477.1499,476.09,476.12,82360
2024-01-02 10:32:00,476.08,477.52,476.01,477.0,165289
2024-01-02 10:33:00,477.0,477.8657,477.0,477.7389,75879
2024-01-02 10:34:00,477.73,478.1,477.5,477.67,75521
