date,open,high,low,close,volume
2024-01-02 09:30:00,472.16,472.67,472.05,472.53,854596
2024-01-02 09:31:00,472.53,472.7,472.365,472.6812,473826
2024-01-02 09:32:00,472.68,472.8,472.65,472.78,408684
2024-01-02 09:33:00,472.76,472.77,472.48,472.69,374399
2024-01-02 09:34:00,472.685,472.78,472.55,472.67,228273
2024-01-02 09:35:00,472.67,472.69,472.48,472.65,250530
2024-01-02 09:36:00,472.64,472.74,472.53,472.635,298577
2024-01-02 09:37:00,472.62,472.7,472.45,472.47,190269
2024-01-02 09:38:00,472.46,472.48,472.01,472.08,501597
2024-01-02 09:39:00,472.09,472.13,471.88,471.92,333972
2024-01-02 09:40:00,471.92,472.1,471.71,471.83,365170
2024-01-02 09:41:00,471.825,472.0013,471.775,471.85,310187
2024-01-02 09:42:00,471.845,471.97,471.795,471.805,359054
2024-01-02 09:43:00,471.81,471.9,471.73,471.77,375633
2024-01-02 09:44:00,471.765,471.93,471.73,471.8,224664
2024-01-02 09:45:00,471.79,471.86,471.72,471.77,219920
2024-01-02 09:46:00,471.78,472.09,471.75,471.94,371720
2024-01-02 09:47:00,471.95,471.95,471.75,471.775,172192
2024-01-02 09:48:00,471.78,471.79,471.43,471.458,314383
2024-01-02 09:49:00,471.45,471.58,471.39,471.39,320666
2024-01-02 09:50:00,471.395,471.73,471.36,471.7157,315339
2024-01-02 09:51:00,471.71,471.95,471.62,471.88,374645
2024-01-02 09:52:00,471.875,471.9,471.58,471.6699,314714
2024-01-02 09:53:00,471.66,471.7,471.48,471.485,217508
2024-01-02 09:54:00,471.49,471.54,471.4,471.42,174355
2024-01-02 09:55:00,471.425,471.585,471.39,471.52,433809
2024-01-02 09:56:00,471.53,471.58,471.41,471.45,185344
2024-01-02 09:57:00,471.44,471.7399,471.44,471.725,353193
2024-01-02 09:58:00,471.73,471.99,471.73,471.99,305092
2024-01-02 09:59:00,472.0,472.2701,471.92,472.27,244037
2024-01-02 10:00:00,472.275,472.6,472.135,472.46,384800
2024-01-02 10:01:00,472.46,472.54,472.37,472.54,187901
2024-01-02 10:02:00,472.54,472.631,472.47,472.515,147711
2024-01-02 10:03:00,472.54,472.71,472.5,472.58,115541
2024-01-02 10:04:00,472.57,472.62,472.46,472.556,208527
2024-01-02 10:05:00,472.56,472.57,472.35,472.37,149133
2024-01-02 10:06:00,472.38,472.5299,472.3,472.46,102620
2024-01-02 10:07:00,472.46,472.49,472.25,472.26,140720
2024-01-02 10:08:00,472.25,472.31,471.98,472.09,293986
2024-01-02 10:09:00,472.09,472.35,472.09,472.29,146921
2024-01-02 10:10:00,472.3,472.46,472.15,472.1696,216686
2024-01-02 10:11:00,472.17,472.35,472.11,472.16,120821
2024-01-02 10:12:00,472.15,472.37,472.13,472.37,149629
2024-01-02 10:13:00,472.365,472.455,472.325,472.39,104576
2024-01-02 10:14:00,472.395,472.395,472.01,472.1199,111822
2024-01-02 10:15:00,472.12,472.14,471.96,472.02,330575
2024-01-02 10:16:00,472.0,472.18,471.98,472.056,107156
2024-01-02 10:17:00,472.06,472.256,471.98,472.185,105257
2024-01-02 10:18:00,472.17,472.3,472.065,472.105,108572
2024-01-02 10:19:00,472.11,472.255,472.06,472.06,88961
2024-01-02 10:20:00,472.06,472.22,472.02,472.15,148773
2024-01-02 10:21:00,472.14,472.42,472.13,472.245,136098
2024-01-02 10:22:00,472.27,472.31,472.21,472.24,103384
2024-01-02 10:23:00,472.25,472.42,472.2,472.38,91845
2024-01-02 10:24:00,472.38,472.42,472.2,472.225,249866
2024-01-02 10:25:00,472.23,472.34,472.08,472.08,143699
2024-01-02 10:26:00,472.08,472.1,471.74,471.74,195324
2024-01-02 10:27:00,471.745,471.98,471.725,471.84,171938
2024-01-02 10:28:00,471.831,471.8342,471.59,471.66,395286
2024-01-02 10:29:00,471.65,471.9499,471.65,471.76,95934
2024-01-02 10:30:00,471.77,471.77,471.4899,471.5,205440
2024-01-02 10:31:00,471.505,471.5493,471.45,471.4799,174420
2024-01-02 10:32:00,471.4796,471.52,471.4,471.4113,351562
2024-01-02 10:33:00,471.41,471.5499,471.4097,471.4696,100662
2024-01-02 10:34:00,471.47,471.55,471.47,471.515,106704
2024-01-02 10:35:00,471.515,471.52,471.42,471.49,117919
2024-01-02 10:36:00,471.48,471.515,471.41,471.4201,86914
2024-01-02 10:37:00,471.42,471.49,471.37,471.37,120258
2024-01-02 10:38:00,471.3786,471.45,471.3,471.35,167762
2024-01-02 10:39:00,471.35,471.55,471.3399,471.515,191229
2024-01-02 10:40:00,471.51,471.72,471.48,471.66,172821
2024-01-02 10:41:00,471.65,471.66,471.51,471.56,164720
2024-01-02 10:42:00,471.56,471.67,471.54,471.61,106439
2024-01-02 10:43:00,471.62,471.7999,471.58,471.7605,132436
2024-01-02 10:44:00,471.7688,471.96,471.76,471.8601,142959
2024-01-02 10:45:00,471.87,472.07,471.8,471.96,83119
2024-01-02 10:46:00,471.95,471.99,471.81,471.86,121714
2024-01-02 10:47:00,471.85,471.85,471.56,471.76,184593
2024-01-02 10:48:00,471.75,471.84,471.71,471.84,93530
2024-01-02 10:49:00,471.8399,471.915,471.62,471.67,93056
2024-01-02 10:50:00,471.6698,471.79,471.6,471.655,101311
2024-01-02 10:51:00,471.66,471.855,471.605,471.83,88515
2024-01-02 10:52:00,471.82,471.89,471.73,471.82,86829
2024-01-02 10:53:00,471.82,471.84,471.66,471.66,135619
2024-01-02 10:54:00,471.65,471.72,471.62,471.7,57412
2024-01-02 10:55:00,471.7,471.7289,471.61,471.68,84076
2024-01-02 10:56:00,471.69,471.7809,471.69,471.725,68920
2024-01-02 10:57:00,471.72,471.735,471.53,471.53,119867
2024-01-02 10:58:00,471.53,471.64,471.4701,471.595,109003
2024-01-02 10:59:00,471.6,471.72,471.55,471.68,85994
2024-01-02 11:00:00,471.67,471.84,471.63,471.84,180475
2024-01-02 11:01:00,471.85,471.93,471.74,471.79,164997
2024-01-02 11:02:00,471.78,471.94,471.735,471.89,68414
2024-01-02 11:03:00,471.89,471.92,471.79,471.86,84352
2024-01-02 11:04:00,471.86,472.15,471.85,472.105,146532
2024-01-02 11:05:00,472.1,472.1301,471.97,471.97,121024
2024-01-02 11:06:00,471.975,471.98,471.78,471.98,141739
2024-01-02 11:07:00,471.97,472.035,471.86,471.8799,87530
2024-01-02 11:08:00,471.88,471.97,471.86,471.97,70459
2024-01-02 11:09:00,471.98,472.205,471.98,472.1812,82532
2024-01-02 11:10:00,472.1875,472.4194,472.17,472.32,198415
2024-01-02 11:11:00,472.32,472.45,472.31,472.39,129832
2024-01-02 11:12:00,472.38,472.42,472.19,472.19,93655
2024-01-02 11:13:00,472.18,472.18,471.96,472.04,127437
2024-01-02 11:14:00,472.0399,472.21,472.035,472.16,97965
2024-01-02 11:15:00,472.16,472.34,472.147,472.32,104723
2024-01-02 11:16:00,472.31,472.3875,472.2,472.22,121841
2024-01-02 11:17:00,472.23,472.265,472.14,472.2182,136062
2024-01-02 11:18:00,472.21,472.31,472.17,472.19,70223
2024-01-02 11:19:00,472.17,472.2486,472.07,472.22,145039
2024-01-02 11:20:00,472.21,472.3205,472.075,472.08,98523
2024-01-02 11:21:00,472.08,472.185,472.0786,472.15,55600
2024-01-02 11:22:00,472.1389,472.32,472.08,472.24,62683
2024-01-02 11:23:00,472.23,472.25,472.1,472.11,58447
2024-01-02 11:24:00,472.11,472.145,471.98,472.085,144944
2024-01-02 11:25:00,472.1,472.1,472.02,472.1,101941
2024-01-02 11:26:00,472.11,472.21,472.09,472.1299,110597
2024-01-02 11:27:00,472.14,472.1799,472.095,472.153,84857
2024-01-02 11:28:00,472.15,472.28,472.1399,472.23,130596
2024-01-02 11:29:00,472.23,472.35,472.2101,472.33,81738
2024-01-02 11:30:00,472.32,472.49,472.27,472.4,142879
2024-01-02 11:31:00,472.4,472.46,472.34,472.41,82069
2024-01-02 11:32:00,472.41,472.53,472.38,472.519,173648
2024-01-02 11:33:00,472.51,472.62,472.48,472.579,136317
2024-01-02 11:34:00,472.57,472.63,472.55,472.6,75325
2024-01-02 11:35:00,472.6,472.61,472.39,472.49,136997
2024-01-02 11:36:00,472.49,472.535,472.41,472.51,61412
2024-01-02 11:37:00,472.51,472.63,472.49,472.605,55549
2024-01-02 11:38:00,472.61,472.61,472.475,472.5299,43640
2024-01-02 11:39:00,472.53,472.54,472.41,472.43,64898
2024-01-02 11:40:00,472.42,472.45,472.37,472.41,84970
2024-01-02 11:41:00,472.42,472.495,472.37,472.46,85876
2024-01-02 11:42:00,472.47,472.57,472.45,472.5599,110757
2024-01-02 11:43:00,472.559,472.6,472.535,472.6,86327
2024-01-02 11:44:00,472.6001,472.67,472.54,472.665,60082
2024-01-02 11:45:00,472.66,472.86,472.61,472.86,171018
2024-01-02 11:46:00,472.87,473.16,472.79,473.06,323949
2024-01-02 11:47:00,473.05,473.08,472.98,473.055,89751
2024-01-02 11:48:00,473.05,473.11,472.93,472.95,103142
2024-01-02 11:49:00,472.96,473.1101,472.945,473.0999,93459
2024-01-02 11:50:00,473.095,473.1299,473.0136,473.02,64209
2024-01-02 11:51:00,473.02,473.145,473.02,473.11,100997
2024-01-02 11:52:00,473.12,473.15,472.96,472.96,181398
2024-01-02 11:53:00,472.96,473.12,472.86,473.05,172606
2024-01-02 11:54:00,473.045,473.07,473.0,473.021,80507
2024-01-02 11:55:00,473.03,473.13,473.0,473.1,115694
2024-01-02 11:56:00,473.1,473.29,473.1,473.17,162256
2024-01-02 11:57:00,473.165,473.169,473.11,473.16,73331
2024-01-02 11:58:00,473.1601,473.19,473.09,473.1,57393
2024-01-02 11:59:00,473.105,473.185,473.05,473.185,78276
2024-01-02 12:00:00,473.19,473.3,473.18,473.26,106762
2024-01-02 12:01:00,473.26,473.355,473.24,473.28,65256
2024-01-02 12:02:00,473.26,473.26,473.14,473.21,77862
2024-01-02 12:03:00,473.21,473.26,473.155,473.189,58415
2024-01-02 12:04:00,473.19,473.275,473.185,473.23,44739
2024-01-02 12:05:00,473.21,473.265,473.2,473.22,98252
2024-01-02 12:06:00,473.22,473.23,473.11,473.16,58621
2024-01-02 12:07:00,473.16,473.23,473.16,473.23,40434
2024-01-02 12:08:00,473.23,473.29,473.21,473.2499,131419
2024-01-02 12:09:00,473.25,473.25,473.135,473.185,61372
2024-01-02 12:10:00,473.17,473.295,473.14,473.27,92301
2024-01-02 12:11:00,473.27,473.31,473.2,473.3,69257
2024-01-02 12:12:00,473.3,473.36,473.18,473.19,121017
2024-01-02 12:13:00,473.1883,473.2499,473.14,473.23,71081
2024-01-02 12:14:00,473.235,473.31,473.21,473.26,48323
2024-01-02 12:15:00,473.26,473.26,473.14,473.14,101790
2024-01-02 12:16:00,473.145,473.19,473.01,473.05,214173
2024-01-02 12:17:00,473.06,473.0701,472.77,472.91,222073
2024-01-02 12:18:00,472.91,472.975,472.84,472.94,69555
2024-01-02 12:19:00,472.935,473.02,472.88,473.02,93764
2024-01-02 12:20:00,473.03,473.18,472.91,473.12,152827
2024-01-02 12:21:00,473.109,473.22,473.109,473.21,99968
2024-01-02 12:22:00,473.21,473.225,472.96,473.015,142277
2024-01-02 12:23:00,473.02,473.03,472.945,472.995,89422
2024-01-02 12:24:00,473.01,473.08,472.93,473.025,101339
2024-01-02 12:25:00,473.01,473.06,472.91,473.06,87473
2024-01-02 12:26:00,473.065,473.13,472.98,472.995,59872
2024-01-02 12:27:00,473.005,473.07,472.93,473.07,50760
2024-01-02 12:28:00,473.07,473.17,473.02,473.095,101290
2024-01-02 12:29:00,473.09,473.1,472.965,472.975,56477
2024-01-02 12:30:00,472.975,473.04,472.94,472.955,82761
2024-01-02 12:31:00,472.96,473.12,472.95,473.055,67862
2024-01-02 12:32:00,473.06,473.17,473.05,473.16,111618
2024-01-02 12:33:00,473.155,473.22,473.1091,473.14,88538
2024-01-02 12:34:00,473.14,473.22,473.12,473.215,53420
2024-01-02 12:35:00,473.22,473.3,473.19,473.28,81109
2024-01-02 12:36:00,473.28,473.41,473.24,473.33,96440
2024-01-02 12:37:00,473.34,473.4,473.3,473.3999,91684
2024-01-02 12:38:00,473.4,473.52,473.39,473.485,107094
2024-01-02 12:39:00,473.49,473.51,473.425,473.49,45035
2024-01-02 12:40:00,473.5,473.67,473.5,473.6,162692
2024-01-02 12:41:00,473.6,473.63,473.54,473.58,44672
2024-01-02 12:42:00,473.595,473.595,473.5,473.53,104321
2024-01-02 12:43:00,473.52,473.545,473.4318,473.5,79284
2024-01-02 12:44:00,473.5,473.529,473.45,473.5,33023
2024-01-02 12:45:00,473.49,473.49,473.29,473.305,80936
2024-01-02 12:46:00,473.31,473.38,473.26,473.29,86277
2024-01-02 12:47:00,473.29,473.29,473.18,473.1933,83300
2024-01-02 12:48:00,473.2,473.265,472.88,472.995,135291
2024-01-02 12:49:00,472.981,473.07,472.9299,473.05,151232
2024-01-02 12:50:00,473.05,473.07,472.865,472.93,104016
